,index,Tags,Questions,Answers,Address,Views,Date_published
10,116,insurance,A Cheat Sheet on Insurance and Its Types,"An individual is prone to many risks like death, financial loss due to disability, accidental damage to assets resulting in the loss of production, etc. Such things may result in",https://www.bajajfinservmarkets.in/discover/expert-speak/insurance/a-cheat-sheet-on-insurance-and-its-types,600 views,"Jan 16,2020"
11,118,insurance,A Crash Course on The Indian Insurance Industry,"The insurance industry in India is at the crossroads of development. For any country and its economic development, having a well-developed insurance sector that is constantly evolving is a",https://www.bajajfinservmarkets.in/discover/expert-speak/insurance/a-crash-course-on-the-indian-insurance-industry,529 views,"Jan 16,2020"
12,120,insurance,Do Multiple Health Insurance Claims Confuse You? Look No Further For Clarity!,"Administering multiple health insurance policies can be confusing, especially the claims process. So, in case you have multiple health insurance policies but are clueless about the claim settlement process, the",https://www.bajajfinservmarkets.in/discover/expert-speak/insurance/do-multiple-health-insurance-claims-confuse-you-look-no-further-for-clarity,423 views,"Jan 6,2020"
13,117,insurance,Here are Some Invaluable Hacks to Reduce Your Term Insurance Premium,"Term insurance plans are fast becoming a necessity in today’s fast-paced, modern life. To maintain their financial portfolio, people have increasingly been seeking such plans. They provide a",https://www.bajajfinservmarkets.in/discover/expert-speak/insurance/here-are-some-invaluable-hacks-to-reduce-your-term-insurance-premium,450 views,"Jan 16,2020"
14,124,insurance,"High Value Health Insurance, Demystified","In a world full of uncertainties, one has to plan for unexpected events like medical emergencies and hospitalizations. Thankfully, people today have become more aware of the health insurance and",https://www.bajajfinservmarkets.in/discover/expert-speak/insurance/high-value-health-insurance-demystified,340 views,"Jan 4,2020"
15,115,insurance,Life Insurance in Times of Pandemic,"Importance of Financial Security

At the beginning of this year, nobody could have imagined that a pandemic would affect lives across the globe and cause several deaths. This has not",https://www.bajajfinservmarkets.in/discover/expert-speak/insurance/life-insurance-in-times-of-pandemic,752 views,"May 30,2020"
16,122,insurance,Looking for Handy Tips to Save Money on Your Vehicle Purchase? Look No Further!,"Investing in a big, new purchase always promises to be an experience of a lifetime, and is a decision that needs to be made with caution. There are a million",https://www.bajajfinservmarkets.in/discover/expert-speak/insurance/looking-for-handy-tips-to-save-money-on-your-vehicle-purchase-look-no-further,307 views,"Jan 6,2020"
17,123,insurance,The Insurance Terminology Starter Kit,"Let’s start you off with some of the most commonly heard terminologies starting with ‘A’ related to insurance.

 	
Accident


Any event which is unexpected in nature. This can be",https://www.bajajfinservmarkets.in/discover/expert-speak/insurance/the-insurance-terminology-starter-kit,324 views,"Jan 6,2020"
18,119,insurance,Want to Change Your Health Insurer But Scared of Losing Benefits? Relax and Read Along,"There are hundreds of health insurance plans in the market. Each plan has a different set of coverage features and is, therefore, priced differently. Moreover, health insurance companies also compete",https://www.bajajfinservmarkets.in/discover/expert-speak/insurance/want-to-change-your-health-insurer-but-scared-of-losing-benefits-relax-and-read-along,392 views,"Jan 6,2020"
19,105,loan,Afraid of Loan Rejection? Here’s How You can Avoid It,"There may be times in our life when we immediately require more money than what we have as savings. In such situations, NBFCs can help a person quickly and easily",https://www.bajajfinservmarkets.in/discover/expert-speak/loans/afraid-of-loan-rejection-heres-how-you-can-avoid-it,480 views,"Jan 16,2020"
20,110,loan,Applying for A Loan? Here’s Everything You Need to Know,"Loans come in all sorts of different types and forms, which is why there is a variety of factors you should consider before you apply for a loan. Determining the",https://www.bajajfinservmarkets.in/discover/expert-speak/loans/applying-for-a-loan-heres-everything-you-need-to-know,364 views,"Jan 4,2020"
21,112,loan,How do NBFCs Help in The Smooth Functioning of The Economy?,"Catering to the diverse financial needs of the country, Non-banking financial companies play an important role in promoting inclusive growth. NBFCs like Bajaj Finserv Limited often take the lead",https://www.bajajfinservmarkets.in/discover/expert-speak/loans/how-do-nbfcs-help-in-the-smooth-functioning-of-the-economy,323 views,"Jan 4,2020"
22,113,loan,The A-Zs of Availing a Loan,Looking to buy a new car or go on a family trip to your dream destination? Are you faced with a medical emergency that requires immediate funds? Or how about,https://www.bajajfinservmarkets.in/discover/expert-speak/loans/the-a-zs-of-availing-a-loan,623 views,"Oct 18,2019"
23,111,loan,The Revolution Powered by The Interoperability of Prepaid Payment Instruments,The Reserve Bank of India (RBI) guidelines on interoperability of prepaid payment instruments (PPIs) was a much-awaited step under the revised PPI road map announced in December 2017. After,https://www.bajajfinservmarkets.in/discover/expert-speak/loans/the-revolution-powered-by-the-interoperability-of-prepaid-payment-instruments,337 views,"Jan 4,2020"
24,109,loan,The Secret to Lower Taxes and Lighter Home Loan Burden: Joint Home Loans,"Provided you meet certain conditions, joint home loans can be a good tax-saving method. You need to be joint owners of the home to avail the lucrative tax benefits",https://www.bajajfinservmarkets.in/discover/expert-speak/loans/the-secret-to-lower-taxes-and-lighter-home-loan-burden-joint-home-loans,358 views,"Jan 6,2020"
25,107,loan,The Ultimate Guide to Taking Out A Home Loan,"Your property is an asset that can truly help you reap numerous financial benefits. Be it a property for the purpose of living in or for an investment, the banking",https://www.bajajfinservmarkets.in/discover/expert-speak/loans/the-ultimate-guide-to-taking-out-a-home-loan,480 views,"Jan 16,2020"
26,114,loan,To be or Not to be: A Data Scientist?,"You might have come across the novel profession of a data scientist in your professional/student life. In a world where data is the new oil and currency, it is",https://www.bajajfinservmarkets.in/discover/expert-speak/loans/to-be-or-not-to-be-a-data-scientist,787 views,"Jul 11,2019"
27,108,loan,Understanding the Five Cs of Credit,Financial institutions attempt to mitigate the risk of lending to borrowers by performing credit analysis on individuals and businesses applying for a new credit account or loan. This process is,https://www.bajajfinservmarkets.in/discover/expert-speak/loans/understanding-the-five-cs-of-credit,460 views,"Jan 6,2020"
28,106,loan,What NBFCs are Getting Right About India’s Digital Future,"NBFCs are quickly adopting best-in-class technology to bring about disruption and foster future growth. The Indian lending industry, significantly the non-banking financial companies (NBFCs), are increasingly relying",https://www.bajajfinservmarkets.in/discover/expert-speak/loans/what-nbfcs-are-getting-right-about-indias-digital-future,650 views,"Jan 16,2020"
29,132,technology,7 Key Pillars of the Finserv MARKETS platform,"Finserv MARKETS is an award-winning digital financial services marketplace. We offer over 27 financial products to over a million customers. The products range across Loans, Insurance, Investment, and Payments",https://www.bajajfinservmarkets.in/discover/expert-speak/technology/7-key-pillars-of-the-finserv-markets-platform,321 views,"Feb 1,2021"
30,35,credit,5 Credit Card Features That Exclusively Benefit a Traveller Like You,"As much as one can love travelling, it is widely known that travelling light can drastically improve the experience. The mantra extends to the currency you carry - which is to",https://www.bajajfinservmarkets.in/discover/journals/blogs/credit-card/5-credit-card-features-that-exclusively-benefit-a-traveller-like-you,579 views,"Dec 4,2019"
31,30,credit,How Important Are Credit Card Statements?,"Credit Cards have drastically changed the way we look at our finances. Time and again, they have brought premium products within our buying reach and with this, have taught us",https://www.bajajfinservmarkets.in/discover/journals/blogs/credit-card/how-important-are-credit-card-statements,206 views,"Nov 24,2020"
32,34,credit,How to Choose The right Credit Card?,"A credit card is a critical payment instrument. It helps you to transact without worrying about the balance in your account, helps build a credit history and offers rewards and",https://www.bajajfinservmarkets.in/discover/journals/blogs/credit-card/how-to-choose-the-right-credit-card,347 views,"Dec 4,2019"
33,36,credit,How to Convert Credit Card Purchases into Easy EMIs,"Credit cards are essentially instruments of payment that let you transact on the principle of ‘buy now, pay later’ up to a pre-defined and pre-approved credit limit. As",https://www.bajajfinservmarkets.in/discover/journals/blogs/credit-card/how-to-convert-credit-card-purchases-into-easy-emis,879 views,"Dec 4,2019"
34,32,credit,How to Improve Credit Card Eligibility and What are The Influential Factors?,"The circulation of credit cards in India touched 48.9 million in May 2019, according to data from the Reserve Bank of India, a rise of 27% from 38.6",https://www.bajajfinservmarkets.in/discover/journals/blogs/credit-card/how-to-improve-credit-card-eligibility-and-what-are-the-influential-factors,688 views,"Dec 4,2019"
35,39,credit,"This Diwali, make the most out of your Credit Cards","The festive season is about to start and yet again, it is going to be the most promising time of the year. With this year’s Diwali sale set to",https://www.bajajfinservmarkets.in/discover/journals/blogs/credit-card/using-your-credit-card-during-the-festive-season,402 views,"Oct 31,2019"
36,37,credit,Using Your Credit Card: Hacks and Tips,A credit card is a payment instrument that you can use to make a plethora of payments and transactions with just a swipe. Depending on the variant of credit card,https://www.bajajfinservmarkets.in/discover/journals/blogs/credit-card/using-your-credit-card-hacks-and-tips,734 views,"Nov 21,2019"
37,31,credit,What is A Credit Card?,"Credit cards are one of the many instruments of cashless payments. What sets them apart from other cashless modes of payment is the concept of ‘buying on credit’. Simply, a",https://www.bajajfinservmarkets.in/discover/journals/blogs/credit-card/what-is-a-credit-card,499 views,"Jul 4,2020"
38,33,credit,Which is Better Credit Card Or Debit Card?,"Credit cards and debit cards are both equally handy instruments of payment. Both of them eliminate the need to carry cash everywhere. With cards, all you have to do is",https://www.bajajfinservmarkets.in/discover/journals/blogs/credit-card/which-is-better-credit-card-or-debit-card,411 views,"Dec 4,2019"
39,38,credit,Why Bajaj Finserv Supercard is The best in The Market!,"This takes me back to my first job in an IT company. First job and all, all my relatives and friends back in my home town wanted a party from",https://www.bajajfinservmarkets.in/discover/journals/blogs/credit-card/why-bajaj-finserv-supercard-is-the-best-in-the-market,511 views,"Nov 7,2019"
40,47,emi,7 Things that the Bajaj Finserv EMI Network Card can help you buy easily,The Bajaj Finserv EMI Network Card is a payment system which lets you buy your favourite products on EMI without the hassles of a credit card. Before we get to,https://www.bajajfinservmarkets.in/discover/journals/blogs/emi-card/7-things-that-the-bajaj-finserv-emi-network-card-can-help-you-buy,461 views,"Aug 26,2020"
41,41,emi,Add colors to your Black Friday shopping with the Bajaj Finserv EMI Network Card,"On November 27th the biggest retailers are bringing a Mega Black Friday sale over to you. Black Friday deals are everywhere right now  — Amazon, Flipkart, and Samsung, to name a",https://www.bajajfinservmarkets.in/discover/journals/blogs/emi-card/black-friday-sale-and-offers-with-bajaj-finserv-emi-network-card,406 views,"Nov 24,2020"
42,49,emi,Buy Now and Pay Later in Easy No Cost EMIs during a Cash Crunch!,"Imagine buying an expensive refrigerator for your home or that smartphone you have been eyeing, or tickets for that trip you have been looking forward to for a long time",https://www.bajajfinservmarkets.in/discover/journals/blogs/emi-card/buy-now-and-pay-later-in-easy-no-cost-emis-during-a-cash-crunch,610 views,"Jul 4,2020"
43,45,emi,Maximize Saving and Pay in No Cost EMIs with the Bajaj Finserv EMI Network Card As You Shop on the Flipkart Sale,Online shopping is effortless and convenient; but what makes it truly exciting is the host of special sales that offer the best discounts and offers on your favourite products. One,https://www.bajajfinservmarkets.in/discover/journals/blogs/emi-card/flipkart-sale-with-bajaj-finserv-emi-network-card-for-no-cost-emi-shopping,669 views,"Sep 24,2020"
44,44,emi,"This Halloween, use the Bajaj Finserv EMI Network Card & stay away from getting spooked by shopping bills!","If you have been deeply attracted by all things spooky, Halloween must be your favourite holiday on the calendar. Halloween day marks the Celtic New Year, which was celebrated by",https://www.bajajfinservmarkets.in/discover/journals/blogs/emi-card/halloween-celebrations-in-india-with-bajaj-finserv-emi-network-card,318 views,"Oct 7,2020"
45,48,emi,Hassle-Free Application and Eligibility for Instant Bajaj EMI Network Card Approvals,"Are you holding yourself back from splurging on your birthday or putting off buying an essential home appliance in fear of overshooting your budget? Well, we have all been there",https://www.bajajfinservmarkets.in/discover/journals/blogs/emi-card/hassle-free-application-and-eligibility-for-instant-bajaj-emi-network-card-approvals,893 views,"Jul 4,2020"
46,42,emi,7 Gifts to Buy Online for Your Children to Help them Make the Most of Their Childhood,"Children’s day is one of the few days during the year, apart from their birthday and certain festivals like diwali or christmas, that children get gifts of their choice",https://www.bajajfinservmarkets.in/discover/journals/blogs/emi-card/online-gifts-for-your-children-for-childrens-day,277 views,"Nov 12,2020"
47,43,emi,5 Shopping Lessons for Navratri 2020,The beginning of Navratri marks the beginning of the shopping spree for Indian households as it sets the stage for many festivals to come. The festival is symbolic of the,https://www.bajajfinservmarkets.in/discover/journals/blogs/emi-card/shopping-lessons-for-navratri-2020-with-bajaj-finserv-emi-network-card,634 views,"Oct 7,2020"
48,46,emi,Top products to buy on Amazon using Bajaj Finserv EMI Network Card,Shopping online is an enjoyable and relaxing way of purchasing all your favourite items. You get to browse through catalogues of products by some of the best brands and enjoy,https://www.bajajfinservmarkets.in/discover/journals/blogs/emi-card/top-products-to-buy-on-amazon-with-bajaj-finserv-emi-network-card,779 views,"Aug 26,2020"
49,51,emi_store,Explain each platform in the MARKETS+ bundle in brief,"In today’s age of online streaming, entertainment has found a variety of forms and a range of platforms on which to showcase them. Be it music, movies, TV shows",https://www.bajajfinservmarkets.in/discover/journals/blogs/emi-store/explain-each-platform-in-the-markets-bundle-in-brief,71 views,"Jul 3,2020"
50,50,emi_store,The Grand EMI Festival is Back: Grab Irresistible Discounts and Unbelievable Offers,"India is a land of many festivals. With each celebration comes along some much-needed cheer and happiness. There’s a lot of family time you can enjoy, there’s",https://www.bajajfinservmarkets.in/discover/journals/blogs/emi-store/know-more-about-the-grand-emi-festival-sale-at-bajaj-finserv-estore,1.08 K views,"Oct 19,2020"
51,57,emi_store,"Samsung Galaxy A51 : Price, Features & Specifications",The Galaxy A51 is the latest mid-range addition to the Galaxy smartphones series that would likely replace the very popular Galaxy A50. It offers a unique modern design as,https://www.bajajfinservmarkets.in/discover/journals/blogs/emi-store/samsung-galaxy-a51,433 views,"Jul 2,2020"
52,56,emi_store,"Samsung Galaxy M01 : Price, Features & Specifications","South Korean smartphone maker Samsung has introduced the latest budget smartphone, the Samsung Galaxy M01, in India. The new Galaxy M01 smartphone falls in the company's affordable M series",https://www.bajajfinservmarkets.in/discover/journals/blogs/emi-store/samsung-galaxy-m01,649 views,"Jul 2,2020"
53,54,emi_store,"Samsung Galaxy M11 : Price, Features & Specifications","South Korean tech giant, Samsung have recently released its Galaxy M series with the launch of Galaxy M11. This budget smartphone offers an amazing set of technology and features for",https://www.bajajfinservmarkets.in/discover/journals/blogs/emi-store/samsung-galaxy-m11,1.08 K views,"Jul 2,2020"
54,52,emi_store,"Samsung Galaxy M21 Price, Features and Specifications","South Korean multinational conglomerate, Samsung leaves no stone unturned to amaze us with its budget-friendly smartphone series. And it has introduced yet another mid-range smartphone, the Samsung Galaxy",https://www.bajajfinservmarkets.in/discover/journals/blogs/emi-store/samsung-galaxy-m21,7.02 K views,"Jul 2,2020"
55,53,emi_store,"Samsung Galaxy M30s Price, Features & Specifications",South Korean conglomerate Samsung has successfully managed to grab everyone's attention with its latest smartphone offering - Galaxy M30s. The Galaxy M30s features unbelievable technology in this price segment and,https://www.bajajfinservmarkets.in/discover/journals/blogs/emi-store/samsung-galaxy-m30s,842 views,"Jul 2,2020"
56,55,emi_store,"Samsung Galaxy M31 : Price, Features & Specifications",Samsung is one of the most trusted and highly sought-after smartphone brands among users. It’s well known for its cutting-edge technology and unbeatable features that stop at,https://www.bajajfinservmarkets.in/discover/journals/blogs/emi-store/samsung-galaxy-m31,6.56 K views,"Jul 2,2020"
57,58,emi_store,"Vivo V19 Price, Features & Specifications","What aspects do you consider before upgrading or buying a new smartphone? People usually seek a modern look and feel, smart camera to click great pictures, long-lasting battery life",https://www.bajajfinservmarkets.in/discover/journals/blogs/emi-store/vivo-v19,1.01 K views,"Jul 2,2020"
58,59,emi_store,"Vivo Y50 Price, Features & Specifications","Smartphone maker Vivo has launched a new budget smartphone, the Vivo Y50, in India. The new Vivo Y50 falls in the company's affordable “Y” series and will be available",https://www.bajajfinservmarkets.in/discover/journals/blogs/emi-store/vivo-y50,1.26 K views,"Jul 2,2020"
59,23,insuarance,Home Remedies for Headache,"The era of Work From Home (WFH) has resulted in spending hours and hours in front of laptops and phones. This, without a doubt has consequences if you don’t",https://www.bajajfinservmarkets.in/discover/journals/blogs/insurance/7-home-remedies-for-headache,223 views,"Nov 26,2020"
60,25,insuarance,Best Crossover Cars in India,"What Is a Crossover Car?
Cars are no longer a luxury product for people in India. They are now the best mode of transport for those living in all parts",https://www.bajajfinservmarkets.in/discover/journals/blogs/insurance/best-crossover-cars-in-india,379 views,"Nov 23,2020"
61,26,insuarance,Difference Between Corporate & Individual Health Insurance,"The importance of having a comprehensive health insurance plan is beyond explanation. In fact, most organisations in India enlist their employees under the corporate health insurance plan as a part",https://www.bajajfinservmarkets.in/discover/journals/blogs/insurance/corporate-health-insurance-vs-individual,531 views,"Nov 22,2020"
62,27,insuarance,Home Remedies for Acidity,"Most of us enjoy a sumptuous meal. And when it comes to having spicy food, many of us tend  to enjoy it a bit more, resulting in a heavy meal",https://www.bajajfinservmarkets.in/discover/journals/blogs/insurance/home-remedies-for-acidity,171 views,"Nov 20,2020"
63,28,insuarance,Home Remedies for Cold,"Being sick with cold can leave you feeling miserable. Most of us have experienced lying in bed with symptoms associated with cold such as fever, chills and body ache. And",https://www.bajajfinservmarkets.in/discover/journals/blogs/insurance/home-remedies-for-cold,201 views,"Nov 20,2020"
64,29,insuarance,Cough Remedies,"A dry cough is also referred to as an unproductive cough as, unlike a wet cough, it does not produce any phlegm, mucus, or other irritants from one’s lungs",https://www.bajajfinservmarkets.in/discover/journals/blogs/insurance/home-remedies-for-cough,156 views,"Nov 20,2020"
65,24,insuarance,Types of Personal Hygiene,It is correctly said that health is wealth. Maintaining your good health is often something that requires you to take an initiative and ensure that you remain in good health,https://www.bajajfinservmarkets.in/discover/journals/blogs/insurance/types-of-personal-hygiene,242 views,"Nov 26,2020"
66,69,investment,5 Big PSU Privatisation on The Cards in 2020,India’s economic growth story has had a few setbacks over the last couple of years. From the stressed balance sheet of the banking sector to slowing core sector growth,https://www.bajajfinservmarkets.in/discover/journals/blogs/investment/5-big-psu-privatisation-on-the-cards-in-2020,1.96 K views,"Dec 31,2019"
67,64,investment,7 Fintech Trends that Transform the Financial Services Forever,Traditional financial services companies are very much eager to incorporate best practices from agile and more flexible Fintech startups. Banks and credit unions have started looking at the advantages of,https://www.bajajfinservmarkets.in/discover/journals/blogs/investment/7-fintech-trends-that-transform-the-financial-services-forever,616 views,"Feb 3,2020"
68,68,investment,Can India Benefit from Disruptions in Global Supply Chains?,"India’s economy is well-positioned to take a commanding position in a largely slowing world. Currently, India is set to be the second-fastest growing economy in the world",https://www.bajajfinservmarkets.in/discover/journals/blogs/investment/can-india-benefit-from-disruptions-in-global-supply-chains,445 views,"Dec 31,2019"
69,67,investment,Can Recent Rate Hikes Help India's Telecom Sector Recover?,India’s telecom sector has been facing a bloodbath ever since Reliance Jio arrived on the shore with its dirt-cheap pricing for both data and voice. The aggressive move,https://www.bajajfinservmarkets.in/discover/journals/blogs/investment/can-recent-rate-hikes-help-indias-telecom-sector-recover,615 views,"Dec 31,2019"
70,65,investment,Can Tik-Tok Break The Facebook-Google Duopoly on Digital Ad Dollars?,"It started as an off-beat place for users looking to share self-created videos of content ranging from funny to risky stunts. Now, it’s the biggest competitor to",https://www.bajajfinservmarkets.in/discover/journals/blogs/investment/can-tik-tok-break-the-facebook-google-duopoly-on-digital-ad-dollars,854 views,"Jan 9,2020"
71,63,investment,What is the risk of investing in Mutual Funds?,"“Mutual fund investments are subject to market risks, read all scheme related documents carefully”

You would have heard this sentence probably 1000 times before and yes, you have heard it",https://www.bajajfinservmarkets.in/discover/journals/blogs/investment/what-is-the-risk-of-investing-in-mutual-funds,236 views,"Aug 23,2020"
72,66,investment,Will The Government Overhaul The Direct Tax Code?,Indian companies got an early Diwali present when FM Nirmala Sitharaman cut the corporate tax rate from 30% to a statutory rate of just over 22%. This measure was welcomed,https://www.bajajfinservmarkets.in/discover/journals/blogs/investment/will-the-government-overhaul-the-direct-tax-code,494 views,"Dec 31,2019"
73,16,loan,Do More With The Finserv MARKETS App,"When you require financial help, the first step is to decide how to do it. You might consider applying for a loan. With a personal loan, you are not required",https://www.bajajfinservmarkets.in/discover/journals/blogs/loans/do-more-with-finserv-markets-app,283 views,"Sep 22,2020"
74,18,loan,Does a Low CIBIL Score Prevent You From Getting a Personal Loan?,"A common question asked is whether having a low CIBIL score makes it impossible, or extremely difficult, for you to avail a personal loan. The answer is not as straightforward",https://www.bajajfinservmarkets.in/discover/journals/blogs/loans/does-a-low-cibil-score-prevent-you-from-getting-a-personal-loan,851 views,"Jul 4,2020"
75,13,loan,How Loan Restructuring Impacts CIBIL Score and Eligibility,Reserve Bank of India (RBI) proposed a one-time loan restructuring on loans to ease the stress on borrowers who are facing financial difficulties. RBI allowed a one-time restructuring,https://www.bajajfinservmarkets.in/discover/journals/blogs/loans/how-loan-restructuring-impacts-cibil-score-and-eligibility,382 views,"Nov 27,2020"
76,12,loan,Hybrid Model of Lending: Is this the future,"Introduction
In India, over the past few years, there has been a paradigm shift in consumer behaviour, with regards to financial transactions and the rise of fintech companies that have",https://www.bajajfinservmarkets.in/discover/journals/blogs/loans/hybrid-model-of-lending-is-this-the-future,289 views,"Dec 4,2020"
77,14,loan,Loan Restructuring Guidelines By RBI,The Reserve Bank of India (RBI) has proposed a one-time restructuring of loans for borrowers struggling with repayments due to lack of liquidity. The plan is to restructure these,https://www.bajajfinservmarkets.in/discover/journals/blogs/loans/loan-restructuring-guidelines-by-rbi,1.08 K views,"Oct 14,2020"
78,15,loan,Need Urgent Finance for Small Business ? Choose Bajaj Finserv Business Loan,What is a business loan ? Business loan is a type of unsecured loan in which no mortgage is needed. Business loans are availed by entrepreneurs and industrialists to cover various,https://www.bajajfinservmarkets.in/discover/journals/blogs/loans/need-urgent-finance-for-small-business-choose-bajaj-finserv-business-loan,496 views,"Sep 23,2020"
79,19,loan,Simple Tips To Improve Your CIBIL Score,"Banks and credit providers each have their own set of parameters when deciding to lend an amount to an applicant. However, the RBI has mandated that banks must consider CIBIL",https://www.bajajfinservmarkets.in/discover/journals/blogs/loans/simple-tips-to-improve-your-cibil-score,36.85 K views,"Jul 4,2020"
80,17,loan,What Lenders Look For in Your Bank Statement,Bank Statement is one of the first documents that lenders ask for when taking decisions on loan applications. It is the single most important document that can decide if one,https://www.bajajfinservmarkets.in/discover/journals/blogs/loans/what-lenders-look-for-in-your-bank-statement,313 views,"Sep 18,2020"
81,79,payment,From Net Banking to UPI,"In April 2016, the National Payments Corporation of India (NPCI)—a Reserve Bank of India regulated organisation—launched the United Payment Interface (UPI) payment system in India. UPI is a",https://www.bajajfinservmarkets.in/discover/journals/blogs/payments/from-net-banking-to-upi,513 views,"Dec 5,2019"
82,76,payment,"MARKETS Pay, your Valentine’s Day saviour","This Valentine, let UPI help you on-the go! The Unified Payments Interface (UPI) ever since its launch in 2016, has garnered much popularity. Over time, UPI transactions have seen",https://www.bajajfinservmarkets.in/discover/journals/blogs/payments/how-safe-are-upi-payments,506 views,"Dec 5,2019"
83,72,payment,How safe UPI Payments are ?,It looks very convenient from User interface or front end to pay via UPI ID or Mobile number without sharing any account details with your friend or Payer but there,https://www.bajajfinservmarkets.in/discover/journals/blogs/payments/how-safe-upi-payments-are,194 views,"Aug 23,2020"
84,78,payment,How to Protect Yourself from UPI Fraud?,India has become the country with most advanced system of payments in the world. This giant leap has been powered by UPI (Universal Payment Interface) and IMPS (Immediate Payment System,https://www.bajajfinservmarkets.in/discover/journals/blogs/payments/how-to-protect-yourself-from-upi-fraud,500 views,"Dec 5,2019"
85,71,payment,What Is a UPI ID and How to Use It?,Our lives have changed drastically in the last few years especially with the advancement of Mobile phones. People have gradually moved away from carry money in their wallets to credit,https://www.bajajfinservmarkets.in/discover/journals/blogs/payments/how-to-use-upi,194 views,"Aug 24,2020"
86,70,payment,How UPI is better than other Digital Payment Modes,"Pandemic & the “New Normal” has brought many changes to our lives, whether it be social distancing, wearing masks, sanitizing every few minutes or simply the way we interact with",https://www.bajajfinservmarkets.in/discover/journals/blogs/payments/how-upi-is-better-than-other-digital-payment-modes,621 views,"Aug 24,2020"
87,73,payment,Make safe digital payments with Finserv MARKETS UPI App,"Using Finserv MARKETS UPI app users can make SAFE digital payments. While keeping oneself safe from the coronavirus, one must be mindful of cybercriminals. These criminals are especially targeting users",https://www.bajajfinservmarkets.in/discover/journals/blogs/payments/make-safe-digital-payments-with-finserv-markets-upi-app,593 views,"Aug 23,2020"
88,74,payment,Mobile Payment Apps Driving Fintech Frenzy in India,The advent of digitization has led to a significant rise in the number of mobile payment apps in India. These mobile payment apps have helped our country take a step,https://www.bajajfinservmarkets.in/discover/journals/blogs/payments/mobile-payment-apps-driving-fintech-frenzy-in-india,1.03 K views,"Feb 3,2020"
89,75,payment,UPI 2.0 An Overview,For those living under a rock for the past few years let me start off by saying that this is an attempt at explaining the new wave of Unified Payments,https://www.bajajfinservmarkets.in/discover/journals/blogs/payments/upi-2-0-an-overview,434 views,"Dec 5,2019"
90,77,payment,What is UPI After All?,United Payments Interface (UPI) is an instant payment system which allows immediate transfer of funds from one bank account to another through a mobile phone platform. It is a single,https://www.bajajfinservmarkets.in/discover/journals/blogs/payments/what-is-upi-after-all,462 views,"Dec 5,2019"
